name,photo,rating,total_count_rating,address,latitude,longitude
Citadel Inn - Gastro Boutique Hotel (Hotel & Restaurant),https://citadel-inn-lviv.booked.net/data/Photos/380x250/13041/1304150/1304150602/Citadel-Inn-Lviv-Exterior.JPEG,4.5,3724,"Citadel Inn, вулиця Грабовського, 11, Львів",49.833968,24.026788
Nota Bene,https://media-cdn.tripadvisor.com/media/photo-s/1c/62/26/24/caption.jpg,4.6,1723,"вулиця Валер'яна Поліщука, 78А, Львів",49.8320045,23.9940242
Сільпо,https://fastly.4sqi.net/img/general/600x600/391668798_NftcoTbsN958yh2-NS_2CTFmOVAndz4SEYQLRfZpaZY.jpg,4.5,1611,"вулиця Шевченка, 60, Львів",49.8457568,24.0089102
Рейкарц,https://reikartz.com/media/filer_public_thumbnails/filer_public/f1/77/f17760b0-fa29-4854-9ee2-ae8b285c9ce3/0004.jpg__1200x900_q80_ALIAS-og_image_crop_subsampling-2_upscale.jpg,4.4,1589,"вулиця Городоцька, 107, Львів",49.8383686,24.007817
RIUS Hotel,https://cf.bstatic.com/xdata/images/hotel/max1024x768/411433689.jpg?k=e470edbbcb3cc893a728008acb720d1c539013c906e1c9c0ad0ad772c403338c&o=&hp=1,4.5,1566,"вулиця Академіка Гнатюка, 12А, Львів",49.8418856,24.0250446
Ramada by Wyndham Lviv,https://www.wyndhamhotels.com/content/dam/property-images/en-us/ra/ua/others/lviv/46369/46369_exterior_view_2.jpg?downsize=720:*,4.4,1499,"вулиця Яворівська, 2a Львів, Зимна Вода",49.8232458,23.9135284
DREAM Hostel Lviv,https://dream-hostels.com/wp-content/uploads/2022/07/entrance.jpg,4.8,1371,"вулиця Краківська, 5, Львів",49.8426,24.03
Ібіс,https://www.hotelscombined.com/himg/32/73/59/ice-98582648-68773582_3XL-166314.jpg,4.5,1368,"вулиця Шухевича, 3, Львів",49.8370562,24.034726
Гетьман,https://img.hotels24.ua/photos/partner_hotel/facility/102/10247/1024783/Gostinica-Getman-Lvov-snjat-1024783z600.jpg,3.6,1359,"вулиця Володимира Великого, 50, Львів",49.8120071,23.991047
Панорама,https://upload.wikimedia.org/wikipedia/commons/c/c7/%D0%9F%D0%B0%D0%BD%D0%BE%D1%80%D0%B0%D0%BC%D0%B0_%D1%86%D0%B5%D0%BD%D1%82%D1%80%D1%83_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B0.jpg,4.5,1104,"проспект Свободи, 45, м, Львів",49.8437257,24.0257296
Stories Hub,https://z-one-hostel-lviv.booked.net/data/Photos/OriginalPhoto/13105/1310581/1310581426/Stories-Hub-Aparthotel-Lviv-Exterior.JPEG,4.7,883,"вулиця Чайковського, 27, Львів",49.83644109999999,24.0279847
Сіли-з'їли,https://lviv.virtual.ua/images/413244/,3.9,792,"вулиця Січових Стрільців, 10, Львів",49.8403655,24.0240902
Амадеус,https://veronica.ua/wp-content/uploads/2018/02/amadeus-5.jpg,4.5,775,"площа Катедральна, 7, Львів",49.84038109999999,24.0302945
Гелікон,https://img.hotels24.ua/photos/partner_hotel/hotel_main/0/8/866/Gostinica-Gelikon-Lvov-foto-866z600.jpg,3.7,750,"вул. Кульпарківська, 230, Львів",49.8029109,23.9802873
Готель Рейкарц Медіваль,https://reikartz.com/media/filer_public_thumbnails/filer_public/88/26/8826774b-275e-4533-8560-b83e687cc088/1.jpg__1200x1200_q80_ALIAS-fancybox_subsampling-2.jpg,4.6,701,"вулиця Друкарська, 9, Львів",49.8435867,24.0318134
Coffee Home Hostel,https://coffeehomehostel.lviv.ua/wp-content/uploads/2022/01/webRoom3_02-e1641410710633.jpg,4.5,694,"вулиця Театральна, 10, Львів",49.8414678,24.0297308
Київстар,https://upload.wikimedia.org/wikipedia/commons/4/40/%D0%9B%D1%8C%D0%B2%D1%96%D0%B2_%D0%BF%D1%80_%D0%A1%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%B8_11_123.jpg,3.7,601,"вулиця Беринди, 1, Львів",49.840801,24.0297064
